2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v114 (NC): shape=(19, 13304), duration=103.9s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v115 (NC): shape=(19, 15651), duration=122.3s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v116 (NC): shape=(19, 19301), duration=150.8s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v117 (NC): shape=(19, 25659), duration=200.5s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v118 (NC): shape=(19, 12007), duration=93.8s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v120 (NC): shape=(19, 12033), duration=94.0s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v121 (NC): shape=(19, 16377), duration=127.9s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v123 (NC): shape=(19, 14550), duration=113.7s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v125 (NC): shape=(19, 15378), duration=120.1s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v127 (NC): shape=(19, 14721), duration=115.0s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v129 (NC): shape=(19, 11208), duration=87.6s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v12p (ADHD): shape=(19, 17604), duration=137.5s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v131 (NC): shape=(19, 16686), duration=130.4s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v133 (NC): shape=(19, 15073), duration=117.8s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v134 (NC): shape=(19, 13359), duration=104.4s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v138 (NC): shape=(19, 12488), duration=97.6s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v140 (NC): shape=(19, 17187), duration=134.3s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v143 (NC): shape=(19, 15607), duration=121.9s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v147 (NC): shape=(19, 14209), duration=111.0s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v149 (NC): shape=(19, 17098), duration=133.6s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v14p (ADHD): shape=(19, 17562), duration=137.2s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v151 (NC): shape=(19, 20914), duration=163.4s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v15p (ADHD): shape=(19, 43252), duration=337.9s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v173 (ADHD): shape=(19, 24241), duration=189.4s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v177 (ADHD): shape=(19, 16697), duration=130.4s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v179 (ADHD): shape=(19, 12673), duration=99.0s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v181 (ADHD): shape=(19, 10668), duration=83.3s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v183 (ADHD): shape=(19, 18591), duration=145.2s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v18p (ADHD): shape=(19, 25003), duration=195.3s
